pitch,start,end,velocity,instrument
53,15.384599999999999,18.4214559375,113,52
46,15.384599999999999,18.4214559375,113,52
65,15.384599999999999,18.453507187499998,113,52
61,15.384599999999999,18.453507187499998,113,52
58,15.769214999999999,16.193894062499997,95,0
65,16.15383,16.506393749999997,122,0
61,16.15383,16.602547499999996,121,0
65,16.15383,16.482355312499998,111,48
58,16.538445,16.971136875,104,0
65,16.538445,18.004789687499997,110,48
65,16.92306,17.307675,122,0
61,16.92306,17.3797903125,121,0
58,17.307675,17.772418124999998,109,0
65,17.692289999999996,18.10895625,120,0
61,17.692289999999996,18.141007499999997,120,0
58,18.076904999999996,18.237161249999996,116,0
65,18.076904999999996,18.413443124999997,111,48
59,18.461519999999997,18.749981249999998,123,0
61,18.461519999999997,18.862160624999998,123,0
65,18.461519999999997,18.910237499999997,123,0
56,18.461519999999997,21.290042812499998,122,0
49,18.461519999999997,24.607347187499997,123,0
65,18.461519999999997,18.7900453125,117,48
59,18.461519999999997,19.222737187499998,113,52
59,18.846134999999997,19.310878125,118,0
65,18.846134999999997,19.230749999999997,116,48
65,19.230749999999997,19.639403437499997,123,0
61,19.230749999999997,19.679467499999998,122,0
66,19.230749999999997,19.655429062499998,115,48
66,19.230749999999997,19.6073521875,113,52
59,19.615364999999997,20.040044062499998,110,0
68,19.615364999999997,20.41664625,113,48
68,19.615364999999997,20.3765821875,113,52
65,19.999979999999997,20.41664625,118,0
61,19.999979999999997,20.448697499999998,121,0
59,20.384594999999997,20.817286874999997,117,0
61,20.384594999999997,21.233953125,103,48
61,20.384594999999997,21.1458121875,113,52
65,20.769209999999998,21.129786562499998,122,0
61,20.769209999999998,21.28203,120,0
59,21.153824999999998,21.330106875,117,0
70,21.153824999999998,24.0304246875,101,48
70,21.153824999999998,24.607347187499997,113,52
66,21.153824999999998,24.607347187499997,113,52
70,21.538439999999998,21.971131874999998,121,0
66,21.538439999999998,22.0111959375,118,0
61,21.538439999999998,22.019208749999997,123,0
54,21.538439999999998,24.591321562499996,118,0
42,21.538439999999998,24.623372812499998,121,0
58,21.923054999999998,22.3477340625,116,0
70,22.307669999999998,22.676259374999997,121,0
66,22.307669999999998,22.692285,121,0
61,22.307669999999998,22.724336249999997,122,0
58,22.692285,23.124976874999998,117,0
70,23.0769,23.4855534375,123,0
66,23.0769,23.533630312499998,122,0
61,23.0769,23.541643124999997,121,0
58,23.461515,23.902219687499997,116,0
70,23.84613,24.246770624999996,121,0
66,23.84613,24.270809062499996,119,0
61,23.84613,24.270809062499996,120,0
58,24.230745,24.647411249999998,115,0
70,24.615359999999995,24.983949374999998,123,0
66,24.615359999999995,25.032026249999998,122,0
63,24.615359999999995,25.088115937499996,123,0
51,24.615359999999995,27.740356874999996,123,0
82,24.615359999999995,25.352538749999997,47,48
70,24.615359999999995,25.745166562499996,107,48
63,24.615359999999995,27.684267187499998,113,52
58,24.615359999999995,27.684267187499998,113,52
58,24.999974999999996,25.424654062499997,109,0
70,25.384589999999996,25.753179375,122,0
66,25.384589999999996,25.793243437499996,119,0
63,25.384589999999996,25.817281874999995,122,0
82,25.384589999999996,27.708305624999998,104,48
58,25.769204999999996,26.201896874999996,115,0
70,25.769204999999996,26.490358124999997,117,48
70,26.153819999999996,26.442281249999997,120,0
66,26.153819999999996,26.538434999999996,120,0
63,26.153819999999996,26.586511874999996,122,0
58,26.538434999999996,26.963114062499997,108,0
70,26.538434999999996,27.692279999999997,115,48
66,26.923049999999996,27.195485624999996,117,0
63,26.923049999999996,27.33971625,121,0
70,26.923049999999996,27.660228749999998,122,0
58,27.307664999999997,27.491959687499996,115,0
60,27.692279999999997,27.932664374999998,119,0
68,27.692279999999997,28.076894999999997,123,0
63,27.692279999999997,28.100933437499997,122,0
56,27.692279999999997,28.132984687499995,122,0
44,27.692279999999997,29.431060312499998,109,0
68,27.692279999999997,27.996766874999995,111,48
80,27.692279999999997,28.004779687499997,76,48
68,27.692279999999997,28.4534971875,113,52
60,27.692279999999997,28.4534971875,113,52
56,27.692279999999997,28.4534971875,113,52
51,28.076894999999997,28.4534971875,120,0
60,28.076894999999997,28.517599687499995,119,0
68,28.076894999999997,28.501574062499998,116,48
80,28.076894999999997,28.509586874999997,110,48
63,28.461509999999997,28.814073749999995,122,0
56,28.461509999999997,28.870163437499997,123,0
70,28.461509999999997,28.886189062499998,123,0
70,28.461509999999997,28.846124999999997,117,48
82,28.461509999999997,28.910227499999998,112,48
70,28.461509999999997,28.8381121875,113,52
58,28.461509999999997,28.8381121875,113,52
68,28.846124999999997,29.094522187499997,119,0
51,28.846124999999997,29.887790624999997,119,0
60,28.846124999999997,29.895803437499996,114,0
80,28.846124999999997,29.070483749999998,112,48
68,28.846124999999997,29.078496562499996,111,48
68,28.846124999999997,29.030419687499997,113,52
56,28.846124999999997,29.030419687499997,113,52
66,29.038432499999995,29.302855312499997,113,0
78,29.038432499999995,29.222727187499995,108,48
66,29.038432499999995,29.222727187499995,113,48
66,29.038432499999995,29.222727187499995,113,52
63,29.230739999999997,29.847726562499997,115,0
75,29.230739999999997,29.535226874999996,118,48
63,29.230739999999997,29.559265312499996,116,48
63,29.230739999999997,29.390996249999997,113,52
65,29.999969999999998,30.368559374999997,121,0
65,29.999969999999998,30.488751562499996,83,48
65,29.999969999999998,30.376572187499995,113,52
66,30.384584999999998,30.761187187499996,117,0
66,30.384584999999998,30.817276874999997,112,48
66,30.384584999999998,30.761187187499996,113,52
66,30.769199999999998,30.777212812499997,122,0
71,30.769199999999998,31.017597187499998,123,0
63,30.769199999999998,31.033622812499996,121,0
47,30.769199999999998,31.041635624999998,117,0
59,30.769199999999998,31.049648437499997,123,0
54,30.769199999999998,31.378173749999995,122,0
71,30.769199999999998,31.073686874999996,115,48
59,30.769199999999998,31.025609999999997,113,52
71,30.769199999999998,31.049648437499997,113,52
63,30.769199999999998,31.049648437499997,113,52
59,31.153814999999998,31.362148124999997,122,0
47,31.153814999999998,31.370160937499996,113,0
66,31.153814999999998,31.418237812499996,122,0
63,31.153814999999998,31.466314687499995,123,0
71,31.153814999999998,31.498365937499997,122,0
71,31.153814999999998,31.562468437499998,114,48
63,31.153814999999998,31.434263437499997,113,52
71,31.153814999999998,31.498365937499997,113,52
59,31.153814999999998,31.530417187499996,113,52
70,31.538429999999998,31.754775937499996,123,0
62,31.538429999999998,31.770801562499997,123,0
58,31.538429999999998,31.818878437499997,123,0
53,31.538429999999998,31.818878437499997,123,0
65,31.538429999999998,31.826891249999996,123,0
46,31.538429999999998,31.899006562499995,117,0
70,31.538429999999998,31.826891249999996,116,48
70,31.538429999999998,31.802852812499996,113,52
65,31.538429999999998,31.858942499999998,113,52
58,31.538429999999998,31.890993749999996,113,52
69,32.30766,32.5720828125,117,0
61,32.30766,32.5720828125,113,0
57,32.30766,32.580095625,123,0
45,32.30766,32.596121249999996,120,0
64,32.30766,32.61214687499999,123,0
52,32.30766,32.644198124999996,123,0
69,32.30766,32.61214687499999,111,48
69,32.30766,32.564069999999994,113,52
57,32.30766,32.5720828125,113,52
64,32.30766,32.604134062499995,113,52
45,32.692274999999995,32.836505624999994,117,0
64,32.692274999999995,32.8605440625,123,0
57,32.692274999999995,32.8925953125,122,0
52,32.692274999999995,32.9406721875,117,0
69,32.692274999999995,32.956697812499996,120,0
61,32.692274999999995,32.9887490625,123,0
69,32.692274999999995,33.07689,118,48
69,32.692274999999995,33.052851562499995,113,52
57,32.692274999999995,33.052851562499995,113,52
64,32.692274999999995,33.06887718749999,113,52
62,33.07689,33.3092615625,123,0
46,33.07689,33.381376874999994,118,0
65,33.07689,33.3893896875,123,0
53,33.07689,33.3974025,123,0
70,33.07689,33.413428124999996,123,0
58,33.07689,33.445479375,123,0
70,33.07689,33.42945374999999,117,48
65,33.07689,33.3974025,113,52
58,33.07689,33.421440937499995,113,52
70,33.07689,33.469517812499994,113,52
63,33.84612,34.0784915625,122,0
71,33.84612,34.11054281249999,123,0
59,33.84612,34.11054281249999,123,0
47,33.84612,34.1265684375,119,0
66,33.84612,34.1666325,119,0
54,33.84612,34.455093749999996,121,0
71,33.84612,34.15861968749999,110,48
59,33.84612,34.086504375,113,52
71,33.84612,34.13458125,113,52
66,33.84612,34.150606874999994,113,52
59,34.230734999999996,34.43105531249999,123,0
47,34.230734999999996,34.43105531249999,117,0
66,34.230734999999996,34.455093749999996,119,0
63,34.230734999999996,34.487145,121,0
71,34.230734999999996,34.535221875,123,0
71,34.230734999999996,34.61535,118,48
66,34.230734999999996,34.591311562499996,113,52
71,34.230734999999996,34.60733718749999,113,52
59,34.230734999999996,34.60733718749999,113,52
62,34.61535,34.8477215625,123,0
70,34.61535,34.90381125,121,0
53,34.61535,34.967913749999994,121,0
58,34.61535,34.9919521875,123,0
65,34.61535,35.007977812499995,123,0
46,34.61535,35.056054687499994,18,0
70,34.61535,35.056054687499994,117,48
70,34.61535,34.983939375,113,52
65,34.61535,35.007977812499995,113,52
58,34.61535,35.01599062499999,113,52
61,35.38457999999999,35.5849003125,122,0
57,35.38457999999999,35.6169515625,120,0
69,35.38457999999999,35.640989999999995,117,0
64,35.38457999999999,35.649002812499994,123,0
45,35.38457999999999,35.873361562499994,117,0
52,35.38457999999999,35.977528125,121,0
69,35.38457999999999,35.681054062499996,115,48
57,35.38457999999999,35.67304125,113,52
69,35.38457999999999,35.7611821875,113,52
64,35.38457999999999,35.7611821875,113,52
64,35.769194999999996,35.921438437499994,119,0
57,35.769194999999996,35.9855409375,116,0
69,35.769194999999996,36.089707499999996,116,0
61,35.769194999999996,36.089707499999996,120,0
69,35.769194999999996,35.99355375,115,48
57,35.769194999999996,36.145797187499994,113,52
62,36.15380999999999,36.66663,121,0
58,36.15380999999999,36.7066940625,122,0
46,36.15380999999999,36.842911875,112,0
65,36.15380999999999,36.8990015625,122,0
53,36.15380999999999,36.8990015625,122,0
70,36.15380999999999,36.963104062499994,122,0
70,36.15380999999999,37.1153475,113,48
70,36.15380999999999,36.466309687499994,113,52
65,36.15380999999999,36.546437812499995,113,52
58,36.15380999999999,36.586501874999996,113,52
63,36.92303999999999,37.179449999999996,122,0
67,36.92303999999999,37.411821562499995,123,0
58,36.92303999999999,37.459898437499994,123,0
51,36.92303999999999,37.7483596875,123,0
63,36.92303999999999,38.42944875,113,52
67,36.92303999999999,38.4374615625,113,52
70,36.92303999999999,38.453487187499995,113,52
63,37.307655,37.732334062499994,118,0
67,37.307655,37.588103437499996,76,48
